System ID,UPC,EAN,Custom SKU,Manufact. SKU,Category,Description,Stock,Sold,Subtotal,Discounts,Subtotal w/ Discounts,Total,Cost,Profit,Margin
210000003719,,,041-0295,,Product,LADIES WESTWOOD ROUGE PINK M/17,0,1,$650.00,$0.00,$650.00,$734.50,$446.99,$203.01,31.23%
210000003720,58817931352,,252856-01,,Product,49N TREKKING PEDALS - RESIN,24,25,$490.00,$8.00,$482.00,$544.66,$99.75,$382.25,79.30%
210000003721,853988006522,,183544-18-01,,Product,Kickr Core Wahoo Smart Trainer,0,5,"$5,310.00",$0.00,"$5,310.00","$6,000.30","$4,309.00","$1,001.00",18.85%
210000003722,710845600203,,312308-01,,Product,SRAM 10 SPEED REAR DERAILLEUR PULLEY KIT - XX (CERAMIC),0,1,$125.00,$0.00,$125.00,$141.25,$125.00,$0.00,0%
210000003723,4895211801562,,,,Product,3T REVO TM AERO BAR BLK-RD 40,0,1,$387.95,$0.00,$387.95,$438.38,$387.95,$0.00,0%
210000003724,8022530018814,,V-11A00091,,Product,CORSA 25-622 FOLD BLACK G2.0,1,5,$570.00,$48.00,$522.00,$589.86,$261.00,$261.00,50%
210000003725,8022530019835,,V-11A00142,,Product,RUBINO PRO 28-622 FOLD BLACK G2.0,-2,10,$800.00,$52.80,$747.20,$844.34,$344.00,$403.20,53.96%
210000003726,,,FV-21052361,,Product,Devinci Marshall A29 SX MD Black,0,2,"$5,700.00",$0.00,"$5,700.00","$6,441.00","$3,670.00","$2,030.00",35.61%
210000003727,,,FV21052461,,Product,Devinci Marshall A29 SX LG Black,0,2,"$5,800.00",$0.00,"$5,800.00","$6,554.00","$3,670.00","$2,130.00",36.72%
210000003728,,,,,Labour,Bar tape install,0,8,$130.00,$0.00,$130.00,$146.90,$0.00,$130.00,100%
210000003729,,,041-2530,,Product,Smoothie Deluxe Ladies Light Blue,1,6,"$3,865.00",$0.00,"$3,865.00","$4,367.45","$2,267.94","$1,597.06",41.32%
210000003730,,,041-2520,,Product,Smoothie Deluxe Ladies Silver Gold,0,5,"$3,250.00",$0.00,"$3,250.00","$3,672.50","$1,889.95","$1,360.05",41.85%
210000003731,,,041-25??,,Product,Smoothie Ladies Rose Gold,-1,3,"$1,860.00",$0.00,"$1,860.00","$2,101.80","$1,183.97",$676.03,36.35%
210000003732,,,041-2565,,Product,Smoothie Ladies Radiant Orchid,0,5,"$3,050.00",$0.00,"$3,050.00","$3,446.50","$1,689.95","$1,360.05",44.59%
210000003733,,,041-2570,,Product,Smoothie Ladies Pink Sherbert,0,7,"$4,310.00",$0.00,"$4,310.00","$4,870.30","$2,365.93","$1,944.07",45.11%
210000003734,,,041-0380,,Product,Movo 2.0 Blue M,0,4,"$3,400.00",$0.00,"$3,400.00","$3,842.00","$2,119.96","$1,280.04",37.65%
